New_Group	Group	Order	Taxa	NDVI_37DAP_2017	NDVI_44DAP_2017	NDVI_60DAP_2017	NDVI_73DAP_2017	NDVI_115DAP_2017	FT_2017	PH_2017	EH_2017
unclassified	unclassified	749	AMES23478	112.43	121.55	124.69	130.31	126.03	78	146	70
popcorn	unclassified	750	PI340873	111.31	121.14	125.54	127.81	136.57	81	111	49
stiff stalk	stiff stalk	751	PI601301	118.22	126.73	129.74	130.83	134.49	76	153	76
sweet corn	sweet corn	752	PI587134	111.92	123.06	125.16	121.91	124.4	67	81	22
unclassified	unclassified	753	PI415086	114.72	124.61	130.97	131.35	136.19	77	108	51
unclassified	unclassified	754	AMES22754	115.73	124.12	128.98	132.45	130.05	80	119	41
unclassified	unclassified	755	PI221821	106.54	117.7	124.63	124.34	135.09	93	135	70
stiff stalk	stiff stalk	756	PI601402	117.26	123.43	126.41	126.48	124.48	73	168	68
unclassified	unclassified	757	AMES26129	116.55	122.77	127.54	127.81	129.8	88	161	85
sweet corn	sweet corn	758	PI644100	110.79	122.71	129.34	127.27	130.69	73	105	29
non-stiff stalk	non-stiff stalk	759	PI601269	119.56	125.21	129.98	130.63	132.4	75	151	73
unclassified	unclassified	760	NSL28967	117.95	123.64	128.24	129.1	131.29	72	129	64
non-stiff stalk	non-stiff stalk	761	PI600955	114.85	121.45	129.2	132.97	134.33	84	145	76
unclassified	unclassified	762	AMES28953	114.67	123.28	127.78	128.14	128.32	78	159	69
unclassified	unclassified	763	PI546482	115.09	122.99	127.78	127.2	127.3	70	162	69
unclassified	unclassified	764	CIZE40	116.54	125.86	129.8	128.71	128.04	77	137	54
unclassified	unclassified	765	NSL438007	113.25	122.64	128.99	127.17	133.97	81	133	72
non-stiff stalk	non-stiff stalk	766	NSL30067	119.16	124.99	129.77	129.74	131.6	76	153	70
unclassified	unclassified	767	AMES24732	116.3	122.55	127.21	127.02	123.63	69	134	59
unclassified	unclassified	768	AMES28411	114.55	122.19	128.06	130.76	136.1	89	125	51
unclassified	unclassified	769	AMES23414	119.3	127.35	129.43	130.91	123.25	70	126	62
sweet corn	sweet corn	770	AMES22041	114.69	121.9	126.65	123.16	119.66	64	64	10
unclassified	unclassified	771	NSL30871	112.8	121.9	125.88	129.24	135.15	79	135	85
popcorn	popcorn	772	AMES28988	115.04	123.32	127.19	127.35	131.23	72	126	67
unclassified	unclassified	773	AMES22751	115.78	123.41	128.42	130.27	127.49	77	140	64
stiff stalk	stiff stalk	774	PI559381	122.93	125.84	131.91	131.94	131.53	72	145	66
tropical	tropical	775	AMES27097	121.67	126.46	128.14	130.22	136.09	89	116	60
stiff stalk	stiff stalk	776	PI601573	119.12	124.92	128.61	130.48	136.19	78	155	64
unclassified	unclassified	777	AMES12730	115.1	124.32	129.63	129.01	134.55	92	148	52
unclassified	unclassified	778	NSL438005	112.7	121.38	124.89	126.71	132.48	93	88	50
stiff stalk	stiff stalk	779	AMES19309	110.67	120.53	125.13	125.93	123.52	80	100	36
unclassified	unclassified	780	PI200195	121.77	124.95	130.69	130.06	134.35	72	186	88
unclassified	unclassified	781	AMES23409	117.31	124.87	129.39	130.13	119.33	70	155	63
popcorn	popcorn	782	NSL75979	114.15	123.02	127.41	127.37	128.97	80	172	89
unclassified	unclassified	783	PI607523	119.93	124.35	129.81	131.7	130.25	76	153	77
unclassified	unclassified	784	NSL68242	115.13	123.89	127.8	127.74	131.79	98	183	98
unclassified	unclassified	785	PI559953	118.48	126.14	130.91	131.28	133.69	68	154	65
unclassified	unclassified	786	NSL81596	114.53	121.59	125.92	129.5	116.36	81	140	63
stiff stalk	stiff stalk	787	PI601498	117.16	125.4	128.39	132.72	134.47	81	168	81
unclassified	unclassified	788	PI631393	115.38	122.47	127.87	126.7	122.09	68	110	47
unclassified	unclassified	789	PI550558	118.84	128.41	132.11	132.98	135.21	78	153	71
unclassified	unclassified	790	PI641229	117.54	125.77	131.06	129.8	135.2	79	139	58
tropical	tropical	791	AMES27083	114.97	123.98	128.16	128.36	136.14	90	132	74
unclassified	unclassified	792	PI340823	112.5	123.35	124.39	123.69	108.85	64	93	14
unclassified	unclassified	793	PI542938	117.02	125.38	128.95	130.61	134.63	90	157	78
unclassified	unclassified	794	PI535913	112.47	122.79	126.89	125.21	116.06	67	143	72
non-stiff stalk	non-stiff stalk	795	PI550442	114.22	123.04	127.75	132.1	138.64	79	131	65
tropical	tropical	796	PI506255	117.72	125.7	126.26	127.59	131.73	91	172	106
unclassified	unclassified	797	PI415081	114.21	121.59	125.18	123.88	126.28	66	104	37
unclassified	unclassified	798	PI633839	119.54	125.64	129.36	129.48	131.7	80	168	77
unclassified	unclassified	799	AMES21096	116.29	123.95	126	127.88	130.3	88	152	79
unclassified	unclassified	800	PI542953	117.9	125.73	127.47	132.46	134.61	90	138	53
