New_Group	Group	Order	Taxa	NDVI_37DAP_2017	NDVI_44DAP_2017	NDVI_60DAP_2017	NDVI_73DAP_2017	NDVI_115DAP_2017	FT_2017	PH_2017	EH_2017
stiff stalk	stiff stalk	1228	PI511309	116.94	124.81	126.37	127.04	127.72	76	152	71
unclassified	unclassified	1229	NSL30909	117.41	125.55	128.21	129.22	134.04	80	98	48
unclassified	unclassified	1230	PI594058	118.64	126.78	128.02	131.4	131.42	78	194	93
unclassified	unclassified	1231	AMES24735	116.65	121.66	130.2	129.47	129.56	73	160	100
non-stiff stalk	non-stiff stalk	1232	PI587154	115.52	122.95	129.83	129.76	128.5	68	101	52
unclassified	unclassified	1233	NSL30063	120.53	127.48	130.05	128.83	128.77	71	137	64
unclassified	unclassified	1234	PI303932	108.45	120.91	125.39	128.47	128.84	73	128	55
non-stiff stalk	non-stiff stalk	1235	PI601494	113.1	120.52	126	128.26	131.99	86	138	61
unclassified	unclassified	1236	CIZE85	109.77	122.41	128.05	129.97	129.26	89	146	83
unclassified	unclassified	1237	AMES27038	114.87	122.88	126.12	125.46	125.63	65	99	40
unclassified	unclassified	1238	PI550497	113.8	121.34	127.47	128.34	129.33	85	119	66
unclassified	unclassified	1239	NSL67799	109.03	120.28	125.64	131.13	131.77	88	145	81
unclassified	unclassified	1240	NSL30046	117.09	125.85	127.89	127.89	127.79	80	149	62
unclassified	unclassified	1241	PI601785	115.98	123.41	128.29	131.23	135.7	90	158	57
unclassified	unclassified	1242	AMES2339	112.73	123.43	126.06	130.07	134.38	83	152	84
unclassified	unclassified	1243	PI303943	106.99	117.35	123.39	126.93	130.8	91	122	45
unclassified	unclassified	1244	AMES23466	115.13	124.06	128.85	129.63	129.02	73	133	68
unclassified	unclassified	1245	AMES19330	117.23	126.61	128.24	125.3	120.8	65	112	33
popcorn	unclassified	1246	AMES28983	113.45	124.39	128.08	130.54	127.2	73	140	86
unclassified	unclassified	1247	AMES28414	105.35	118.66	122.88	129.37	139.9	83	155	59
unclassified	unclassified	1248	AMES24718	118.18	123.65	128.62	131.61	131.28	79	130	50
unclassified	unclassified	1249	PI535917	113.81	123.46	124.66	126.81	128.73	68	139	54
unclassified	unclassified	1250	PI559921	120	125.14	130.2	131.98	129.35	71	146	71
unclassified	unclassified	1251	PI607522	108.54	117.88	123	124.18	135.08	69	98	37
unclassified	unclassified	1252	AMES23440	116.64	122.82	128.18	126.61	121.82	65	115	58
popcorn	popcorn	1253	AMES28981	116.57	126.64	130.12	130.47	122.26	72	160	70
unclassified	unclassified	1254	PI561516	112.23	124.1	130.92	134.48	134.68	93	142	71
unclassified	unclassified	1255	PI596357	119.55	127.33	129.38	132.39	136.15	76	147	74
stiff stalk	stiff stalk	1256	AMES26808	115.83	123.5	127.92	132.76	129.22	84	162	88
stiff stalk	stiff stalk	1257	PI537099	119.19	127.11	129.73	128.3	131.69	73	126	61
unclassified	unclassified	1258	NSL438040	111.95	122.11	129.51	130.14	135.59	98	172	93
sweet corn	sweet corn	1259	AMES22064	115.21	123.27	128.52	128.85	129.2	72	117	52
unclassified	unclassified	1260	AMES27031	116.89	122.07	125.86	125.13	118.56	65	118	50
unclassified	unclassified	1261	AMES19014	115.02	122.6	128.38	129.78	132.29	81	121	42
unclassified	unclassified	1262	PI391678	113.96	122.41	127.53	128.97	127.99	77	157	100
unclassified	unclassified	1263	AMES26133	116.34	124.03	130.75	133.4	139.99	93	115	45
unclassified	unclassified	1264	PI550542	117.16	121.91	126.74	125.12	112.92	65	60	33
unclassified	unclassified	1265	PI267170	114.19	122.22	125.09	126.78	123.41	70	115	46
sweet corn	sweet corn	1266	PI233321	101.89	118.69	127.18	123.88	121.14	72	91	18
unclassified	unclassified	1267	AMES26750	114.66	122.67	128.22	130.67	130.1	82	148	79
unclassified	unclassified	1268	NSL437877	113.77	121.63	127.89	132.04	134.45	87	107	59
unclassified	unclassified	1269	AMES27025	115.87	122	124.16	122.48	122.66	64	77	10
unclassified	unclassified	1270	AMES12729	112.41	123.63	128.94	128.67	129.27	89	145	63
unclassified	unclassified	1271	PI610493	116.65	123.06	129.07	132.1	132.68	86	151	50
unclassified	unclassified	1272	AMES23446	117.09	123.54	127.47	126.93	124.65	65	112	54
unclassified	unclassified	1273	PI198892	115.92	124.01	126.41	127.32	123.98	76	162	94
popcorn	popcorn	1274	AMES24575	111.76	122.81	128.67	132.69	128.48	80	135	84
unclassified	unclassified	1275	PI543840	116.88	125.18	127.45	131.41	136.6	87	182	76
stiff stalk	stiff stalk	1276	PI587127	118.3	126.3	128.43	130.02	133.65	74	128	76
non-stiff stalk	non-stiff stalk	1277	PI601728	118.89	125.56	130.24	129.29	132.37	71	169	53
stiff stalk	stiff stalk	1278	PI548802	116.5	124.64	129.02	129.16	131.81	75	144	76
unclassified	unclassified	1279	NSL53095	115.37	123.55	126.33	125.02	132.61	92	181	93
stiff stalk	stiff stalk	1280	AMES26742	116.76	125.6	128.68	129.91	129.19	80	185	104
unclassified	unclassified	1281	PI200191	118.37	124.11	129.35	130.4	131.47	73	135	75
unclassified	unclassified	1282	AMES22767	114.27	121.12	126.18	125.12	130.33	68	70	31
unclassified	unclassified	1283	NSL30876	114.95	123.09	130.65	133.26	130.86	81	113	61
unclassified	unclassified	1284	CIZE91	114.07	123.15	127.88	129.84	136.35	92	106	71
unclassified	unclassified	1285	PI550471	114.37	124.02	130.8	135.14	135.92	91	82	33
unclassified	unclassified	1286	PI607524	112.02	122.3	128.72	128.24	127	69	137	64
unclassified	unclassified	1287	PI415083	114.21	121.59	124.97	124.7	125.36	68	123	55
unclassified	unclassified	1288	AMES19323	113.09	123.58	126.37	128.53	120.95	87	158	79
tropical	tropical	1289	AMES30856	117.27	125.26	130.25	132.28	131.47	89	149	69
popcorn	popcorn	1290	NSL75976	112.95	123.86	129.05	129.35	131.53	80	135	86
unclassified	unclassified	1291	PI601375	116.12	124.86	130.03	128.2	125.17	73	126	61
unclassified	unclassified	1292	AMES27192	116.3	126.06	129.69	130.99	138.98	82	140	48
sweet corn	sweet corn	1293	AMES22016	109.68	119.2	124.99	122.18	115.57	69	98	30
unclassified	unclassified	1294	PI601491	120.4	128.07	129.93	131.31	133.64	72	136	50
unclassified	unclassified	1295	AMES23482	111.94	121.15	125.64	126.35	123.95	70	120	54
popcorn	unclassified	1296	AMES28997	114.39	124.31	130.81	130.7	125	77	154	102
unclassified	unclassified	1297	AMES23399	114.07	122.6	128.11	126.08	115.96	72	144	62
unclassified	unclassified	1298	PI340830	114.26	125.3	130.14	126.96	128.24	68	128	62
unclassified	unclassified	1299	NSL243016	117.88	125.22	130.12	134.19	136.51	74	139	58
sweet corn	sweet corn	1300	AMES22031	110.83	120.18	125.64	125.94	129.44	71	111	48
unclassified	unclassified	1301	AMES24707	116.86	124.05	129.04	130.28	126.39	68	129	59
unclassified	unclassified	1302	PI433486	115.25	123.23	125.21	122.49	123.12	68	115	40
unclassified	unclassified	1303	PI548799	116.09	124.23	130.4	131.16	132.09	71	142	80
unclassified	unclassified	1304	AMES23434	114.36	123.97	125.57	126.6	121.57	68	133	54
sweet corn	sweet corn	1305	PI358529	115.26	125.66	130.55	127.74	122.25	72	129	50
unclassified	unclassified	1306	PI550441	115.21	123.96	131.75	128.33	130.86	101	158	89
non-stiff stalk	non-stiff stalk	1307	PI601361	119.36	126.87	130.72	130.62	128.64	72	145	67
unclassified	unclassified	1308	PI594073	116.34	124.3	128.32	130.02	129.12	83	150	75
unclassified	unclassified	1309	NSL22984	115.29	124.68	130.16	131.6	135.23	82	187	90
stiff stalk	stiff stalk	1310	PI550455	117.23	123.07	126.84	128.99	125.09	82	162	88
unclassified	unclassified	1311	AMES26797	114.81	125.32	129.21	132.7	137.26	82	143	78
unclassified	unclassified	1312	AMES23475	113.45	123.34	129.54	128.14	124.86	69	125	63
unclassified	unclassified	1313	AMES24724	117.41	123.58	127.92	128.43	125.22	68	119	29
stiff stalk	stiff stalk	1314	PI648424	117.93	126.91	130.56	130.15	135.54	75	120	66
unclassified	unclassified	1315	NSL437988	115.37	125.05	126.95	128.58	128.44	75	140	57
unclassified	unclassified	1316	NSL437890	118.57	125.52	129.92	131.65	135.99	92	140	65
unclassified	unclassified	1317	PI631444	119.5	125.95	130.2	130.21	133.73	86	156	67
unclassified	unclassified	1318	AMES2341	108.43	121.49	127.72	128.17	130.11	90	150	69
unclassified	unclassified	1319	AMES23474	114.69	122.54	126.88	128.1	127.48	71	145	52
stiff stalk	stiff stalk	1320	AMES28418	117.13	124.83	127.29	129.07	130.23	84	172	72
unclassified	unclassified	1321	AMES26789	115.56	124.2	126.22	128.99	134.61	89	141	73
unclassified	unclassified	1322	AMES19009	120.53	125.89	131.92	133.46	138.17	80	155	47
unclassified	unclassified	1323	AMES22752	113.19	122.07	128.37	128.15	131.54	82	125	49
unclassified	unclassified	1324	PI221736	113.87	125.4	130.98	129.33	134.13	78	120	55
unclassified	unclassified	1325	PI267166	112.08	120.64	128.09	129.58	121.01	76	149	53
unclassified	unclassified	1326	NSL437947	113.78	122.58	130.03	134.58	138.65	94	124	58
unclassified	unclassified	1327	PI596502	114.27	122.05	127.04	129.35	127.8	74	136	38
non-stiff stalk	non-stiff stalk	1328	PI527699	114.38	124.88	128.91	131.39	134.02	82	135	65
unclassified	unclassified	1329	PI594069	116.53	125	127.39	128.69	132.25	77	155	85
unclassified	unclassified	1330	NSL22633	111.91	122.25	130.02	131.67	133.61	98	150	75
unclassified	unclassified	1331	CIZE38	116.79	126.9	131.72	133.05	134.93	86	162	111
unclassified	unclassified	1332	PI587125	111.57	122.21	124.52	126.85	131.26	70	150	70
unclassified	unclassified	1333	AMES2340	115.9	123.3	129.02	133.95	135.94	89	132	61
unclassified	unclassified	1334	AMES25373	115.47	125.18	128.53	128.87	132.61	84	152	74
unclassified	unclassified	1335	AMES26909	110.91	120.07	123.89	125.18	127.23	93	145	54
unclassified	unclassified	1336	PI221820	113.07	121.18	124.66	128.65	128.3	86	131	52
unclassified	unclassified	1337	NSL32722	116.01	120.78	125.54	124.79	121.34	70	90	30
unclassified	unclassified	1338	PI198903	110.28	122.64	127.88	125.99	127.96	91	134	89
popcorn	unclassified	1339	AMES29026	112.62	120.9	124.26	127.29	126.03	86	144	83
unclassified	unclassified	1340	AMES24720	118.46	126.75	129.71	127.95	127.91	72	133	61
unclassified	unclassified	1341	PI595367	115.12	123.08	129.56	129.66	131.36	79	143	65
unclassified	unclassified	1342	PI369439	115.94	123.42	123.71	123.97	125.94	61	86	30
unclassified	unclassified	1343	AMES27130	114.43	122.47	127.88	128.38	131.03	88	162	95
popcorn	popcorn	1344	PI340851	115.92	126.11	128.85	127.23	131.19	74	148	94
sweet corn	sweet corn	1345	NSL8581	110.89	121.23	127	127.68	132.18	98	160	90
unclassified	unclassified	1346	AMES27048	113.91	122.31	124.71	122.81	120.87	65	100	38
unclassified	unclassified	1347	PI553057	117.16	127.85	129.82	130.31	127.96	77	120	44
unclassified	unclassified	1348	PI221788	109.8	119.07	122.51	124.1	128.59	96	131	56
unclassified	unclassified	1349	AMES2336	117.98	125.07	130.87	131.73	141.55	80	101	50
sweet corn	sweet corn	1350	NSL42805	111.74	120.66	122.26	127.2	129.52	68	120	50
unclassified	unclassified	1351	PI596629	117.61	124.62	128.35	129.16	129.18	81	167	68
non-stiff stalk	non-stiff stalk	1352	AMES27183	116.31	128.79	127.95	127.84	132.51	73	99	31
unclassified	unclassified	1353	PI607527	116.43	124.69	128.99	129.34	126.15	72	121	71
unclassified	unclassified	1354	AMES27153	111.18	122.07	126.25	128.9	134.3	83	156	58
unclassified	unclassified	1355	AMES23428	116.4	123.95	128.15	127.47	132.32	70	153	64
popcorn	unclassified	1356	AMES28976	109.78	121.61	127.95	130.05	133.17	72	120	70
unclassified	unclassified	1357	PI561523	115.32	121.31	127.35	130.19	129.4	92	146	72
unclassified	unclassified	1358	NSL81595	114.98	126.29	130.71	128.99	127.44	72	116	42
unclassified	unclassified	1359	AMES23447	116.32	123.7	126.52	126.15	123.27	65	117	52
unclassified	unclassified	1360	NSL438033	113.72	122.82	127.42	130.02	122.83	83	142	57
unclassified	unclassified	1361	PI186196	108.81	119.51	125.27	127.56	132.07	88	131	56
unclassified	unclassified	1362	AMES24745	111.9	120.32	124.67	127.28	128.14	74	117	47
unclassified	unclassified	1363	AMES26745	117.58	125.58	131.03	133.31	133.97	79	144	64
non-stiff stalk	non-stiff stalk	1364	PI583846	115.46	124.3	128.02	130.47	125.35	79	148	54
unclassified	unclassified	1365	PI406123	111.27	122.74	129.66	131.05	132.11	83	167	81
stiff stalk	stiff stalk	1366	PI601362	116.01	125.42	129.85	130.66	130.38	80	164	82
sweet corn	sweet corn	1367	AMES28186	114.52	122.51	128.12	124.69	118.51	68	94	22
tropical	tropical	1368	AMES27087	114.39	124.61	130.38	133.49	137.27	81	137	64
unclassified	unclassified	1369	PI542959	116.05	124.36	126.5	129.91	130.69	91	150	71
unclassified	unclassified	1370	PI633924	108.26	121.83	127.33	130.41	135.57	93	170	108
unclassified	unclassified	1371	AMES27163	119.58	126.46	130.72	129.46	133.27	88	173	96
non-stiff stalk	non-stiff stalk	1372	PI600944	119.85	127.88	129.08	128.67	130.42	72	143	70
unclassified	unclassified	1373	AMES19001	115.75	125.3	131.63	132.69	135.29	78	146	69
unclassified	unclassified	1374	AMES23442	114.18	120.96	127.01	127.73	113.76	66	144	62
non-stiff stalk	non-stiff stalk	1375	PI601270	115.84	123.91	128.95	130.08	132.07	81	119	62
unclassified	unclassified	1376	AMES27171	115.33	123.16	129.41	130.72	133.85	90	119	59
unclassified	unclassified	1377	PI601571	119.49	126.43	129.85	134.02	134.81	83	175	77
popcorn	popcorn	1378	PI340845	114.98	121.73	126.9	130.46	127.43	84	108	58
unclassified	unclassified	1379	PI405711	118.65	125.67	128.64	128.5	126.82	69	185	100
stiff stalk	stiff stalk	1380	PI601789	121.34	127.88	129.71	129.03	130.34	71	137	61
unclassified	unclassified	1381	AMES23404	119.63	124.77	129.75	127.57	123.13	70	134	60
unclassified	unclassified	1382	AMES2327	114.32	124.01	124.51	128.59	131.58	77	136	55
non-stiff stalk	non-stiff stalk	1383	NSL42877	119.35	123.92	128.73	127.46	120.55	68	115	45
unclassified	unclassified	1384	AMES24725	113.72	121.96	126.92	124.9	119.52	70	93	33
non-stiff stalk	non-stiff stalk	1385	PI601438	117.18	125.06	128.34	133.11	132.36	77	140	66
unclassified	unclassified	1386	NSL81600	115.5	123.2	130.07	131.3	128.44	75	100	34
unclassified	unclassified	1387	AMES27159	121.94	125.89	129.39	131.71	131.76	78	162	71
unclassified	unclassified	1388	AMES27187	116.48	124.58	130.22	128.91	130.68	80	155	85
stiff stalk	stiff stalk	1389	AMES28421	113.05	125.03	128.83	130.74	135.37	76	151	63
non-stiff stalk	non-stiff stalk	1390	AMES24749	119.87	126.96	131.38	132.09	131.01	78	182	78
unclassified	unclassified	1391	PI550568	118.43	125.69	129.98	130.91	130.2	71	148	74
popcorn	popcorn	1392	PI542776	115.13	122.25	127.92	129.46	135.67	79	96	55
popcorn	popcorn	1393	AMES28979	113.99	125.05	129.77	126.69	117.47	71	142	71
unclassified	unclassified	1394	AMES26128	113.66	122.1	126.82	129.62	126.2	77	150	61
unclassified	unclassified	1395	PI594074	118.3	126.24	130.77	131.95	129.44	80	134	55
unclassified	unclassified	1396	PI550541	112.1	120.08	126.09	127.17	118.58	71	112	49
unclassified	unclassified	1397	AMES24740	117.57	125.34	131.3	132.09	128.69	81	173	84
unclassified	unclassified	1398	PI257508	114.83	124.36	124.07	123.75	120.55	61	119	31
unclassified	unclassified	1399	PI538235	114.89	121.29	126.31	125.13	118.58	67	66	24
stiff stalk	stiff stalk	1400	PI601300	117.65	128.73	131.28	128.49	134.11	70	134	51
unclassified	unclassified	1401	PI608768	116.37	121.29	126.75	131.61	121.67	80	125	30
unclassified	unclassified	1402	PI267168	114.72	123.04	131.03	127.6	128.35	73	163	80
unclassified	unclassified	1403	AMES26021	116.79	126.68	129.99	130.64	136.21	82	158	72
unclassified	unclassified	1404	AMES12740	116.16	124.12	129.08	130.44	133.29	93	174	86
unclassified	unclassified	1405	AMES23424	115.09	123.41	129.14	129.19	116.28	72	147	70
unclassified	unclassified	1406	PI594086	112.92	121.89	128.1	129.02	130.34	86	136	63
unclassified	unclassified	1407	PI391662	116.41	125.28	130.77	129.3	131.26	74	100	42
sweet corn	sweet corn	1408	AMES22014	112.11	122.18	129.17	129.36	125.03	71	105	35
unclassified	unclassified	1409	AMES27132	114.24	123.38	129.57	131	132.41	98	200	122
unclassified	unclassified	1410	PI594054	118.1	125.3	129.96	132.12	136.86	77	106	39
unclassified	unclassified	1411	NSL437914	119.55	126.02	128.41	132.34	133.72	79	192	103
non-stiff stalk	non-stiff stalk	1412	PI601774	119.29	125.75	132.4	131.53	136.92	74	154	71
unclassified	unclassified	1413	PI594089	116.16	123.82	128.29	131.98	133.04	77	145	56
stiff stalk	stiff stalk	1414	AMES27066	119.21	126.04	128.79	129.32	127.74	75	155	54
unclassified	unclassified	1415	PI539920	116.56	124.52	128.04	127.25	110	68	120	44
sweet corn	sweet corn	1416	PI358523	114.84	123.95	126.41	130	133.25	76	142	49
unclassified	unclassified	1417	AMES26125	115.81	123.85	128.42	129.35	129.05	88	139	59
unclassified	unclassified	1418	PI257506	118.63	124.58	124.73	124.26	125.9	60	99	27
stiff stalk	stiff stalk	1419	PI648425	119.33	127.66	129.54	132.17	133.25	72	149	73
sweet corn	sweet corn	1420	AMES22018	113.54	121.18	126.17	123.53	127.17	67	95	23
popcorn	popcorn	1421	AMES29015	117.45	124.26	131.36	131.15	134.58	79	122	49
sweet corn	sweet corn	1422	NSL42806	112.81	122.34	128.02	128.46	122.38	77	103	57
non-stiff stalk	non-stiff stalk	1423	AMES25220	116.22	124.55	128.4	131.04	127.39	70	155	40
non-stiff stalk	non-stiff stalk	1424	AMES24748	119.36	125.34	128.98	129.69	133.52	81	188	69
unclassified	unclassified	1425	PI592735	112.54	121.74	128.53	130.9	133.26	87	149	72
stiff stalk	stiff stalk	1426	PI601150	116.83	123.89	126.25	127.86	125.33	74	131	62
unclassified	unclassified	1427	CIZE82	118.66	126.45	132.41	132.67	133.34	80	179	81
unclassified	unclassified	1428	PI391682	114.25	122.98	126.3	125.36	121.46	77	171	85
unclassified	unclassified	1429	NSL437936	111.44	121.96	126.53	126.63	131.27	85	151	63
unclassified	unclassified	1430	PI547087	115.11	123.22	127.69	131.88	133.39	77	161	64
unclassified	unclassified	1431	AMES10277	116.56	123.47	126.48	127.53	132.9	90	149	67
popcorn	popcorn	1432	PI596504	113.32	121.73	128.52	126.46	127.9	74	92	21
unclassified	unclassified	1433	NSL67789	106.34	116.47	122.53	127.56	129.8	91	136	73
stiff stalk	stiff stalk	1434	NSL81598	115.39	125.47	127.96	129.59	133.59	76	167	68
unclassified	unclassified	1435	AMES24590	114.92	124.98	130.32	133.52	132.02	82	136	71
popcorn	unclassified	1436	PI340856	112.71	122.51	127.71	131.45	132.17	78	120	62
unclassified	unclassified	1437	AMES27133	115.73	123.27	126.27	128.74	130.67	95	150	64
unclassified	unclassified	1438	AMES27174	113.25	122.21	126.72	131.81	136.83	86	161	86
unclassified	unclassified	1439	NSL437929	113.73	123.72	129.15	130.15	136.19	90	169	79
stiff stalk	stiff stalk	1440	PI601037	113.02	123.01	126.98	127.46	133.3	75	139	55
unclassified	unclassified	1441	PI520772	117.27	126.09	129.39	127.81	129.31	73	107	44
stiff stalk	stiff stalk	1442	AMES23491	112.34	124.06	129.17	129.03	128.78	70	160	75
unclassified	unclassified	1443	AMES23408	114.79	122.81	126.91	128.31	115.22	70	139	42
unclassified	unclassified	1444	AMES27194	112.86	120.47	127.04	126.11	128.45	70	118	50
sweet corn	sweet corn	1445	AMES22026	108.71	118.4	124.2	133.23	140.59	77	100	39
unclassified	unclassified	1446	NSL30901	112.27	122.24	127.16	130.77	132.76	86	165	86
unclassified	unclassified	1447	NSL30903	118.39	124.91	131.42	135.26	133.17	78	139	69
sweet corn	sweet corn	1448	AMES22025	115.81	126	130.56	126.85	123.73	72	117	32
unclassified	unclassified	1449	AMES23417	111.67	121.36	126.75	127.25	128.23	70	151	64
unclassified	unclassified	1450	AMES23437	114.73	121.57	126.35	127.08	110.79	69	147	64
unclassified	unclassified	1451	PI538242	113.97	122.42	128.64	128.86	132.63	70	136	50
unclassified	unclassified	1452	PI550556	114.23	123.3	127.27	132.63	133.28	83	110	44
unclassified	unclassified	1453	CIZE88	115.45	124.85	130.31	130.68	132.89	94	182	64
unclassified	unclassified	1454	NSL437952	113.48	124.71	130.32	129.57	138.44	84	172	95
unclassified	unclassified	1455	AMES24752	113.42	121.12	123.86	124.2	121.63	68	114	47
sweet corn	sweet corn	1456	AMES27445	112.04	123.13	129.96	129.32	133.34	77	103	40
unclassified	unclassified	1457	PI593007	113.79	122.62	127.28	128.86	133.23	77	162	62
unclassified	unclassified	1458	PI257507	114.06	121.74	124.34	124.07	124.11	65	79	36
non-stiff stalk	non-stiff stalk	1459	PI555651	113.18	123.98	129.72	128.78	131.05	70	145	66
unclassified	unclassified	1460	PI604606	120.19	126.62	129.5	131.31	136.16	79	134	59
unclassified	unclassified	1461	AMES23490	114.88	124.59	127.64	127.16	121.39	68	123	48
non-stiff stalk	non-stiff stalk	1462	NSL67792	108.1	121.3	124.86	125.83	130.63	85	130	55
stiff stalk	stiff stalk	1463	PI587152	113.81	126.02	129.75	132.2	130.32	71	155	79
unclassified	unclassified	1464	PI641226	116.09	122.25	123.1	128.2	127.23	89	163	99
unclassified	unclassified	1465	PI415088	113.83	123.12	128.77	129.67	130.78	76	102	55
unclassified	unclassified	1466	NSL42874	114.97	121.18	127.09	125.46	116.96	67	125	67
unclassified	unclassified	1467	AMES23436	115.19	121.77	126.65	130.93	132.44	72	169	70
unclassified	unclassified	1468	NSL437994	117.36	123.76	128.68	132.35	129.26	81	132	68
unclassified	unclassified	1469	PI200184	114.89	121.96	127.97	130.7	126.11	78	143	73
unclassified	unclassified	1470	NSL30905	112.11	120.05	125.65	128.53	121.84	87	134	66
unclassified	unclassified	1471	AMES10255	108.52	120.48	130.09	130.23	139.6	98	141	60
unclassified	unclassified	1472	AMES27034	117.29	124.48	127.57	129.05	127.13	68	115	45
unclassified	unclassified	1473	AMES27137	115.03	125.66	130.45	131.67	131.2	77	138	66
unclassified	unclassified	1474	PI591015	118.45	124.6	131.77	131.79	136.67	98	176	91
unclassified	unclassified	1475	AMES26803	114.61	122.11	127.42	130.99	126.29	88	121	65
sweet corn	sweet corn	1476	PI233312	114.97	122.84	129.33	125.68	121.32	67	135	48
popcorn	unclassified	1477	AMES27115	119.17	128.64	129.7	127.12	125.47	70	84	36
popcorn	popcorn	1478	AMES29020	113.73	121.68	125.7	128.75	127.52	75	133	65
non-stiff stalk	non-stiff stalk	1479	AMES26754	116.83	122.75	126.14	130.18	131.05	90	181	109
unclassified	unclassified	1480	PI601490	117.24	123.62	128.48	130.41	134.54	93	145	50
non-stiff stalk	non-stiff stalk	1481	PI648432	117.67	124.26	127.59	129.96	128.56	83	142	61
unclassified	unclassified	1482	AMES30864	118.22	127.26	130.67	132.82	132.06	80	171	89
stiff stalk	stiff stalk	1483	NSL65874	112.25	122.51	126.22	130	129.7	79	172	67
unclassified	unclassified	1484	PI406110	105.61	119.41	124.6	125.85	129.1	82	185	81
unclassified	unclassified	1485	PI391665	117.02	123.33	127.99	128.11	128.31	73	142	66
non-stiff stalk	non-stiff stalk	1486	AMES22750	114.23	122.22	128.83	131.97	129.51	81	115	36
unclassified	unclassified	1487	PI186217	110.66	121.14	125.58	127.37	133.47	84	139	70
unclassified	unclassified	1488	PI559918	118.96	123.51	128.26	130.54	130.79	77	151	74
unclassified	unclassified	1489	PI561526	118.87	126.3	129.69	130.01	132.2	89	168	93
unclassified	unclassified	1490	PI391680	111.79	120.72	122.65	126.83	134.14	80	149	61
popcorn	popcorn	1491	AMES29003	116.98	123.9	127.8	127.9	133.02	76	114	45
unclassified	unclassified	1492	AMES27121	113.96	122.95	129.91	132.79	133.56	91	153	80
non-stiff stalk	non-stiff stalk	1493	PI601783	116.8	123.75	125.82	130.17	132.67	77	126	43
popcorn	popcorn	1494	AMES29013	113.26	120.04	126.13	127.72	127.42	79	117	45
unclassified	unclassified	1495	PI538010	112.58	121.12	124.77	128.68	131.53	78	96	37
sweet corn	sweet corn	1496	AMES22023	112.1	124.32	130.01	129.91	134.06	71	160	69
tropical	tropical	1497	PI639936	117.45	124.77	129.29	128.79	133.36	94	151	85
popcorn	popcorn	1498	AMES29001	113.36	123.03	128.24	131.34	136.09	82	126	56
sweet corn	sweet corn	1499	PI509045	116.49	126.26	130.6	129.08	130.1	79	167	76
stiff stalk	stiff stalk	1500	PI600958	118.78	124.74	128.09	127.26	136.17	78	131	60
unclassified	unclassified	1501	PI601329	117.09	125.55	131.24	132.92	133.91	84	155	77
stiff stalk	stiff stalk	1502	AMES22748	114.71	122.63	127.16	129.27	123.06	81	151	48
unclassified	unclassified	1503	PI583350	113.94	121.6	127.45	129.72	128.85	84	156	73
unclassified	unclassified	1504	AMES24744	118.38	124.46	129.98	132.18	135.7	70	151	66
unclassified	unclassified	1505	NSL30911	114.98	123.58	128.78	128.81	128.64	89	75	44
unclassified	unclassified	1506	PI543846	121.16	125.15	129.1	130.06	126.45	72	145	53
non-stiff stalk	non-stiff stalk	1507	PI594046	112.31	120.76	127.76	128.05	124.92	76	111	48
unclassified	unclassified	1508	PI221737	114.48	124.84	129.13	128.52	127.32	84	119	41
unclassified	unclassified	1509	PI186199	109.14	120.11	125.86	125.45	125.9	85	165	65
unclassified	unclassified	1510	PI608767	116.83	125.23	130.59	132.7	133.03	78	159	80
popcorn	unclassified	1511	AMES29027	116.7	123.33	128.58	130.01	129.3	83	181	107
unclassified	unclassified	1512	PI594081	116.45	124.76	129.56	131.44	133.92	80	101	45
unclassified	unclassified	1513	PI369446	113.74	123.22	125.71	126.97	117.6	65	105	29
unclassified	unclassified	1514	PI601776	116.41	122.55	127.24	128.38	122.31	67	77	48
stiff stalk	stiff stalk	1515	PI587128	118.97	126.02	130.18	132.65	132.35	80	152	42
unclassified	unclassified	1516	CIZE44	112.09	123.65	129.25	129.17	132.67	96	132	78
unclassified	unclassified	1517	PI550540	120.05	123.59	128.11	124.78	112.34	64	91	55
unclassified	unclassified	1518	AMES27191	113.62	122.24	130.5	133.48	138.27	93	138	72
sweet corn	stiff stalk	1519	AMES26761	112.08	123.81	128.59	129.53	128.13	73	120	48
unclassified	unclassified	1520	NSL437909	120.33	126.85	128.69	131.71	137.04	81	160	72
stiff stalk	stiff stalk	1521	PI550465	115.22	125.97	130.88	132.35	134.48	82	116	65
sweet corn	sweet corn	1522	AMES27446	113.19	122.55	128.19	129.18	138.25	77	97	39
unclassified	unclassified	1523	AMES23403	116.51	123.04	126.72	125.68	120.53	70	104	33
popcorn	popcorn	1524	PI340875	114.2	123.36	129.16	127.94	133.01	84	136	67
unclassified	unclassified	1525	PI594071	118.36	126.71	129.09	130.46	132.41	78	168	72
stiff stalk	stiff stalk	1526	PI601575	118.37	124.88	129.98	131.75	136.1	77	146	53
unclassified	unclassified	1527	AMES12820	108.66	118.59	125.86	128.83	121.02	83	142	58
non-stiff stalk	non-stiff stalk	1528	AMES26747	114.39	121.29	125.37	129.22	125.94	83	120	74
unclassified	unclassified	1529	AMES27039	118.01	124.19	128.6	125.39	127.15	66	111	18
unclassified	unclassified	1530	PI608765	111.93	122.84	127.57	132.99	132.63	94	166	57
unclassified	unclassified	1531	PI186223	107.48	120.29	126.75	127.38	133	81	143	82
unclassified	unclassified	1532	AMES27181	114.1	124.07	130.72	132.19	135.81	90	168	92
